Item Name,UOM,Item Category,Variance ,Base Price,ID,No Decimal Values
FALOODA SEVAI ( 100 gm ),kg,KIRANA,0.00,110.00,"292482000000392077",false
Farasbi ( DONT USE THIS ITEM ),kg,VEGETABLES,0.00,0.00,"292482000001780669",false
FARSAN (GATHIYA),kg,KIRANA,0.00,200.00,"292482000000392119",false
FARSAN (MIX),kg,KIRANA,0.00,200.00,"292482000000392115",false
FISH FRY MASALA,kg,KIRANA,,980.00,"292482000008286805",false
Fish Masala,kg,KIRANA,,980.00,"292482000009396105",false
FISH- BANGDA,Pieces ,MEAT,0.00,,"292482000000367069",false
FISH- BASA,kg,MEAT,0.00,,"292482000000390139",false
FISH- BOMBIL,kg,MEAT,0.00,1000.00,"292482000008286679",false
FISH- KATLA,kg,MEAT,0.00,,"292482000000390131",false
FISH- POMFRET,kg,MEAT,,1000.00,"292482000008286697",false
FISH- PRAWNS MEDIUM,Pieces ,MEAT,0.00,,"292482000000390095",false
FISH- PRAWNS SMALL,kg,MEAT,0.00,,"292482000000390083",false
FISH- PRAWNS TIGER,kg,MEAT,0.00,,"292482000000390099",false
FISH- RAWAS,kg,MEAT,0.00,,"292482000000390075",false
FISH- SURMAI,kg,MEAT,0.00,,"292482000000367065",false
FRENCH FRIES,kg,KIRANA,0.00,450.00,"292482000000406045",false
FRIED NOODLES,kg,KIRANA,0.00,295.00,"292482000009938613",false
FROZEN- BABY CORN PILLED,kg,DAIRY,0.00,220.00,"292482000000390171",false
FROZEN- GREEN PEAS,kg,DAIRY,0.00,180.00,"292482000000390163",false
GALANGAL - THAI GINGER DON'T USE,kg,VEGETABLES,0.00,0.00,"292482000000390027",false
GARAM MASALA POWDER,kg,KIRANA,0.00,931.00,"292482000000392045",false
GARLIC CHUTNEY,Packets,KIRANA,0.00,350.00,"292482000000406097",false
GARLIC PASTE,kg,KIRANA,0.00,275.00,"292482000000406033",false
GARLIC PEELED DON'T USE,kg,VEGETABLES,0.00,0.00,"292482000000390031",false
Gas cylinder,Pieces ,F&B GAS,10.00,1550.00,"292482000002901247",true
Gas Cylinder 17 kg (Shortage),Pieces ,F&B GAS,0.00,4500.00,"292482000007982178",true
Gas Cylinder 21kg (shortage),Pieces ,F&B GAS,0.00,5500.00,"292482000007982184",true
GAS LIGHTER,Pieces ,F&B GENERAL PURCHASE,0.00,150.00,"292482000002393227",true
GAWAAR BEANS,kg,VEGETABLES,0.00,100.00,"292482000002583709",false
GHEE (200GM) AMUL,Bottle,KIRANA,0.00,140.00,"292482000002499773",true
GHEE (200GM) GOVARDHAN,Bottle,KIRANA,0.00,199.00,"292482000002131259",true
GHEE (200GM) HERITAGE,Bottle,KIRANA,0.00,185.00,"292482000002131255",true
GHEE (200GM) MADHWAN,Pieces ,KIRANA,0.00,175.00,"292482000000392139",true
Ghee Goavrdhan (500 gm ),Bottle,KIRANA,0.00,430.00,"292482000006284971",true
Ghee Madhwan ( 100 ml ),Bottle,KIRANA,0.00,90.00,"292482000006326105",true
GINGER,kg,VEGETABLES,0.00,200.00,"292482000000368791",false
GREEN CHILLI SAUCE (750 ML),Bottle,KIRANA,0.00,70.00,"292482000000390751",true
GREEN THAI CURRY ,kg,KIRANA,0.00,1500.00,"292482000000406089",false
GROUNDNUT- SINGDANA,kg,KIRANA,0.00,160.00,"292482000000390881",false
GULAB JAMUN POWDER,Packets,KIRANA,0.00,100.00,"292482000000377747",true
GUR BLACK,kg,KIRANA,0.00,70.00,"292482000000392103",false
Haewaya Expenses,Pieces ,F&B GENERAL PURCHASE,0.00,,"292482000002901265",false
HALDI POWDER,kg,KIRANA,0.00,460.00,"292482000000390817",false
HARPIC BIG,Bottle,F&B GENERAL PURCHASE,0.00,235.00,"292482000008636640",true
HING (100gm),Pieces ,KIRANA,0.00,114.00,"292482000000390833",true
HONEY (1 KG),kg,KIRANA,0.00,1000.00,"292482000000390853",false
Hot Corn Soup,Packets,KIRANA,,10.00,"292482000009279925",true
Ice Berg,kg,VEGETABLES,0.00,200.00,"292482000001780043",false
ICE CREAM- BUTTER SCOTCH,Pieces ,DAIRY,0.00,240.00,"292482000000379111",true
ICE CREAM- CHOCOLATE,Pieces ,DAIRY,0.00,240.00,"292482000000379095",true
ICE CREAM- KESAR PISTA,Pieces ,DAIRY,0.00,240.00,"292482000000379107",true
ICE CREAM- MANGO,Pieces ,DAIRY,0.00,240.00,"292482000000379103",true
