Villa Name,Active,Primary Villa,Rent Type,Primary,Secondary Villa,Location,State,Head Office,Ekostay ID,Max Occ (member),Haewaya ID,ID,BHK,Bathroom,Category,Modified Time,Added Time
Cosy Cove Villa,true,Cosy Cove Villa,Lease,false,Cosy Cove Villa,Lonavala,Maharashtra,Central Office,336,18.00,"965,1025","292482000000368501",4.5BHK,4.00,Gold,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
La Flamingo,true,La Flamingo,Revenue Share,false,La Flamingo,Lonavala,Maharashtra,Central Office,334,20.00,1012,"292482000000368497",8BHK,7.00,Luxury,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Casa Amado,true,Casa Amado,Lease,false,Casa Amado,Alibaug,Maharashtra,Central Office,330,25.00,"6492,5217","292482000000368493",4BHK,5.00,Gold,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
Blue Tiffany Villa- Nerul,false,Blue Tiffany Villa- Nerul,Revenue Share,false,Blue Tiffany Villa- Nerul,Goa,Goa,Central Office,329,16.00,"621, 5794","292482000000368489",4BHK,5.00,Luxury,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
White Oak Villa,true,White Oak Villa,Lease,false,White Oak Villa,Alibaug,Maharashtra,Central Office,328,30.00,"936,6499","292482000000368485",9BHK,9.00,Original,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
Casa Vayu,true,Casa Vayu,Lease,false,Casa Vayu,Lonavala,Maharashtra,Central Office,327,18.00,"924,1023","292482000000368481",3BHK,3.00,Gold,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
 Utopian Villa- Pilerene,false, Utopian Villa- Pilerene,Lease,false, Utopian Villa- Pilerene,Goa,Goa,Central Office,322,10.00,620,"292482000000368477",3BHK,3.00,Original,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
Avante Villa- Calangute,true,Avante Villa- Calangute,Lease,false,Avante Villa- Calangute,Goa,Goa,Central Office,314,16.00,619,"292482000000368473",4BHK,4.00,Luxury,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
Costa Brava Villa,false,Costa Brava Villa,Revenue Share,false,Costa Brava Villa,Lonavala,Maharashtra,Central Office,313,40.00,1028,"292482000000368469",7BHK,7.00,Luxury,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
La Casa Grande,false,La Casa Grande,Revenue Share,false,La Casa Grande,Lonavala,Maharashtra,Central Office,312,25.00,"1002,1013","292482000000368465",5BHK,6.00,Luxury,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Highland Villa 6BHK,true,Highland Villa 7BHK,Lease,false,,Panchgani,Maharashtra,Central Office,311,18.00,,"292482000000368461",6BHK,6.00,Luxury,18-Aug-2026 18:49:36,20-Aug-2025 12:40:36
Moonlight Villa,true,Moonlight Villa,Revenue Share,false,Moonlight Villa,Kodaikanal,Tamil Nadu,Central Office,309,12.00,8168,"292482000000368457",4BHK,4.00,Gold,18-Aug-2026 18:43:17,20-Aug-2025 12:49:05
Copacabana Villa Calangute,false,Copacabana Villa- Calangute,Revenue Share,false,Copacabana Villa Calangute,Goa,Goa,Central Office,,6.00,,"292482000000368453",2BHK,2.00,Gold,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
Fairmonte Villa,false,Fairmonte Villa,Lease,false,Fairmonte Villa,Panchgani,Maharashtra,Central Office,305,20.00,,"292482000000368449",5BHK,5.00,Original,18-Aug-2026 18:49:36,20-Aug-2025 12:40:36
Woodstock Villa 6BHK,true,Woodstock Villa 8BHK,Lease,false,,Karjat,Maharashtra,Central Office,304,20.00,,"292482000000368445",6BHK,6.00,Luxury,18-Aug-2026 18:48:42,20-Aug-2025 12:41:10
Jungle Beach 8 BHK,true,Jungle Beach 12 BHK,Lease,false,,Alibaug,Maharashtra,Central Office,303,25.00,,"292482000000368441",8BHK,8.00,Gold,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
Jungle Beach 12 BHK,true,Jungle Beach 12 BHK,Lease,true,Jungle Beach 8 BHK,Alibaug,Maharashtra,Central Office,302,40.00,"932,6501,648,806","292482000000368437",12BHK,12.00,Gold,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
Casa De Reva,true,Casa De Reva,Lease,false,Casa De Reva,Lonavala,Maharashtra,Central Office,301,20.00,"923,1001","292482000000368433",5BHK,5.00,Gold,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Sea Shore Villa 12BHK,true,Sea Shore Villa 12BHK,Lease,false,"Sea Shore Villa 8 BHK,Sea Shore Villa 12BHK",Alibaug,Maharashtra,Central Office,299,40.00,"933,6500,649,805","292482000000368429",12BHK,12.00,Gold,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
Sea Shore Villa 8 BHK,true,Sea Shore Villa 12BHK,Lease,false,,Alibaug,Maharashtra,Central Office,298,25.00,,"292482000000368425",8BHK,8.00,Gold,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
Woodstock Villa 8BHK,true,Woodstock Villa 8BHK,Lease,true,Woodstock Villa 6BHK,Karjat,Maharashtra,Central Office,296,40.00,"949,1056,665","292482000000368421",8BHK,8.00,Luxury,18-Aug-2026 18:48:42,20-Aug-2025 12:41:10
Amore Apartment- Siolim,false,Amore Apartment- Siolim,Revenue Share,false,,Goa,Goa,Central Office,295,4.00,567,"292482000000368417",2BHK,2.00,Original,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
Casa Marina 4BHK- Nerul,false,Casa Marina 6BHK- Nerul,Lease,false,,Goa,Goa,Central Office,294,8.00,,"292482000000368413",4BHK,4.00,Gold,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
