Villa Name,Active,Primary Villa,Rent Type,Primary,Secondary Villa,Location,State,Head Office,Ekostay ID,Max Occ (member),Haewaya ID,ID,BHK,Bathroom,Category,Modified Time,Added Time
Skyfall Cloud 6BHK Villa,true,,Lease,false,,Ooty And Coonoor,Tamil Nadu,,453,28.00,,"292482000010412065",6BHK,6.00,Gold,18-Aug-2026 18:45:58,20-Aug-2025 12:42:57
Skyfall Cloud 9BHK Villa,true,,Lease,false,,Ooty And Coonoor,Tamil Nadu,,454,42.00,,"292482000010407343",9BHK,9.00,Gold,18-Aug-2026 18:45:58,20-Aug-2025 12:42:57
Skyfall Cloud 12BHK Villa,true,,Lease,false,,Ooty And Coonoor,Tamil Nadu,,455,56.00,,"292482000010389267",12BHK,12.00,Gold,18-Aug-2026 18:45:58,20-Aug-2025 12:42:57
Hexagon Villa,true,,Lease,false,,Karjat,Maharashtra,,452,24.00,10697,"292482000010380874",6BHK,6.00,Gold,18-Aug-2026 18:48:42,20-Aug-2025 12:41:10
 House of Two- Anjuna,true, House of Two- Anjuna,Lease,false, House of Two- Anjuna,Goa,Goa,,451,8.00,,"292482000010045028",2BHK,2.00,Original,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
casa,false,casa,Lease,false,,Kullu and Manali,Himachal Pradesh,,213,10.00,,"292482000009927266",3BHK,3.00,Original,23-Jun-2026 15:20:51,20-Aug-2025 12:46:18
Lake Bliss Villa,true,Lake Bliss Villa,Lease,false,Lake Bliss Villa,Lonavala,Maharashtra,,449,12.00,"10681,","292482000009921186",4BHK,4.00,Gold,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Lake Mist Villa,true,Lake Mist Villa,Lease,false,Lake Mist Villa,Lonavala,Maharashtra,,448,12.00,"10690,","292482000009912230",4BHK,4.00,Gold,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Clifton Villa,true,Clifton Villa,Lease,false,Clifton Villa,Lonavala,Maharashtra,,450,24.00,10693,"292482000009897462",8BHK,8.00,Gold,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Hillcrest Villa,false,Hillcrest Villa,Lease,false,,Dehradun,Uttarakand,,115,10.00,,"292482000009388058",3BHK,3.00,Gold,23-Jun-2026 15:18:26,20-Aug-2025 12:47:35
 Luna Goose Villa- Calangute,true, Luna Goose Villa- Calangute,Lease,false, Luna Goose Villa- Calangute,Goa,Goa,,447,20.00,10674,"292482000009367228",6.5BHK,5.00,Luxury,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
Greco Villa,true,Greco Villa,Revenue Share,false,Greco Villa,Igatpuri,Maharashtra,,446,20.00,,"292482000009111066",5BHK,5.00,Gold,18-Aug-2026 18:49:09,20-Aug-2025 12:40:53
 Brooklyn Villa,true, Brooklyn Villa,Revenue Share,false, Brooklyn Villa,Igatpuri,Maharashtra,,445,24.00,,"292482000009103030",6BHK,6.00,Gold,18-Aug-2026 18:49:09,20-Aug-2025 12:40:53
The Velvet Slope,true,The Velvet Slope,Lease,false,The Velvet Slope,Ooty And Coonoor,Tamil Nadu,,434,12.00,	8186,"292482000009043860",4BHK,4.00,Luxury,18-Aug-2026 18:45:58,20-Aug-2025 12:42:57
Corica Duplex Villa,true,Corica Duplex Villa,Revenue Share,false,Corica Duplex Villa,Igatpuri,Maharashtra,,444,18.00,,"292482000009016109",5BHK,5.00,Gold,18-Aug-2026 18:49:09,20-Aug-2025 12:40:53
Caprica duplex Villa,true,Caprica duplex Villa,Revenue Share,false,Caprica duplex Villa,Igatpuri,Maharashtra,,443,20.00,,"292482000008994718",6BHK,6.00,Gold,18-Aug-2026 18:49:09,20-Aug-2025 12:40:53
Silo Duplex Villa,true,Silo Duplex Villa,Revenue Share,false,Silo Duplex Villa,Igatpuri,Maharashtra,,442,20.00,,"292482000008940322",6BHK,6.00,Gold,18-Aug-2026 18:49:09,20-Aug-2025 12:40:53
 Milo Duplex Villa,true, Milo Duplex Villa,Revenue Share,false, Milo Duplex Villa,Igatpuri,Maharashtra,,441,15.00,,"292482000008935042",3BHK,3.00,Gold,18-Aug-2026 18:49:09,20-Aug-2025 12:40:53
The Ranch Villa,false,The Ranch Villa,Revenue Share,false,,Nashik,Maharashtra,,210,14.00,,"292482000008729120",4BHK,4.00,Gold,18-Aug-2026 18:47:20,14-May-2026 13:34:20
ONYX Villa,true,ONYX Villa,Revenue Share,false,ONYX Villa,Mumbai,Maharashtra,,440,15.00,,"292482000008262064",4BHK,4.00,Gold,18-Aug-2026 18:46:32,20-Aug-2025 12:42:14
Divine Villa,true,Divine Villa,Lease,false,Divine Villa,Ooty And Coonoor,Tamil Nadu,,439,20.00,	10597,"292482000008091741",7BHK,7.00,Gold,18-Aug-2026 18:45:58,20-Aug-2025 12:42:57
 Casa Elara,true, Casa Elara,Revenue Share,false, Casa Elara,Igatpuri,Maharashtra,,438,22.00,"10688,","292482000008025994",5BHK,7.00,Gold,18-Aug-2026 18:49:09,20-Aug-2025 12:40:53
Air Villa (4BHK),false,Air Villa (4BHK),Lease,false,,Panchgani,Maharashtra,,437,20.00,,"292482000008006304",4BHK,4.00,Original,18-Aug-2026 18:49:36,20-Aug-2025 12:40:36
 Casa Bella,true, Casa Bella,Revenue Share,false, Casa Bella,Lonavala,Maharashtra,,436,40.00,,"292482000007992517",8BHK,8.00,Luxury,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Over the Stream Villa,true,Over the Stream Villa,Lease,false,Over the Stream Villa,Ooty And Coonoor,Tamil Nadu,,435,20.00,10599,"292482000007985256",4BHK,4.00,Luxury,18-Aug-2026 18:45:58,20-Aug-2025 12:42:57
Whispering Pines,true,Whispering Pines,Lease,false,Whispering Pines,Ooty And Coonoor,Tamil Nadu,,432,20.00,	10677,"292482000007983231",4BHK,3.00,Gold,18-Aug-2026 18:45:58,20-Aug-2025 12:42:57
Orchid Villa,true,Orchid Villa,Lease,false,Orchid Villa,Ooty And Coonoor,Tamil Nadu,,433,10.00,10675,"292482000007982350",4BHK,4.00,Gold,18-Aug-2026 18:45:58,20-Aug-2025 12:42:57
 Vanamora Villa,true, Vanamora Villa,Revenue Share,false,,Nashik,Maharashtra,,428,20.00,,"292482000007690134",5.5BHK,7.00,Gold,18-Aug-2026 18:47:20,14-May-2026 13:34:20
Sea Lagoon Villa,true,Sea Lagoon Villa,Revenue Share,true,,Alibaug,Maharashtra,,431,12.00,,"292482000007682004",4BHK,4.00,Gold,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
fcgfhbjnh,false,fcgfhbjnh,Lease,false,,Lonavala,Maharashtra,,430,20.00,,"292482000007472217",6BHK,6.00,Original,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Wada Crest,true,Wada Crest,Revenue Share,false,Wada Crest,Wada,Maharashtra,,429,12.00,,"292482000007471654",3BHK,3.00,Gold,18-Aug-2026 18:46:56,20-Aug-2025 12:41:54
Dawn Villa,true,Dawn Villa,Lease,false,Dawn Villa,Ooty And Coonoor,Tamil Nadu,,426,14.00,10595,"292482000007348136",3BHK,3.00,Gold,18-Aug-2026 18:45:58,20-Aug-2025 12:42:57
Concrete Cove Villa,true,Concrete Cove Villa,Lease,false,Concrete Cove Villa,Lonavala,Maharashtra,,427,20.00,"10587,10687","292482000007342258",6BHK,6.00,Gold,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Olive Goose Villa- Calangute,true,Olive Goose Villa- Calangute,Lease,false,Olive Goose Villa- Calangute,Goa,Goa,,424,20.00,10426,"292482000006632325",6.5BHK,6.00,Luxury,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
Dusk Villa,true,Dusk Villa,Lease,false,Dusk Villa,Ooty And Coonoor,Tamil Nadu,,422,16.00,10596,"292482000006184163",4BHK,4.00,Gold,18-Aug-2026 18:45:58,20-Aug-2025 12:42:57
Under The Pines,true,Under The Pines,Lease,false,Under The Pines,Ooty And Coonoor,Tamil Nadu,,423,20.00,10445,"292482000006180121",5BHK,6.00,Luxury,18-Aug-2026 18:45:58,20-Aug-2025 12:42:57
Santorini Villa,false,Santorini Villa,Revenue Share,false,Santorini Villa,Lonavala,,,,,,"292482000005922091",2,,,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Ecstasy Villa,false,Ecstasy Villa,Lease,false,Ecstasy Villa,Igatpuri,,,,,,"292482000005922087",4,,,18-Aug-2026 18:49:09,20-Aug-2025 12:40:53
Grey Horizon,true,Grey Horizon,Lease,false,Grey Horizon,Karjat,Maharashtra,,420,16.00,"10113,10217","292482000004229893",4BHK,4.00,Gold,18-Aug-2026 18:48:42,20-Aug-2025 12:41:10
Trinity Villa,true,Trinity Villa,Lease,false,Trinity Villa,Karjat,Maharashtra,,419,12.00,10114,"292482000004198757",3BHK,3.00,Gold,18-Aug-2026 18:48:42,20-Aug-2025 12:41:10
Forest Cube Villa,true,Forest Cube Villa,Revenue Share,false,Forest Cube Villa,Chikmagalur,Karnataka,,418,10.00,,"292482000003810867",2BHK,2.00,Gold,18-Aug-2026 18:45:16,29-Dec-2025 14:54:18
Echo Villa,true,Helios Villa,Lease,false,,Kodaikanal,Tamil Nadu,,416,18.00,9500,"292482000003716073",6BHK,6.00,Gold,18-Aug-2026 18:43:17,20-Aug-2025 12:49:05
Helios Villa,true,Helios Villa,Lease,true,"Apollo Villa,Echo Villa",Kodaikanal,Tamil Nadu,,417,40.00,,"292482000003714943",12BHK,12.00,Gold,18-Aug-2026 18:43:17,20-Aug-2025 12:49:05
Brick Wood,false,Brick Wood,Revenue Share,false,Brick Wood,Karjat,Maharashtra,,414,14.00,,"292482000003641185",3BHK,3.00,Gold,18-Aug-2026 18:48:42,20-Aug-2025 12:41:10
Koral Wood,true,Koral Wood,Revenue Share,false,Koral Wood,Virar,Maharashtra,,413,14.00,,"292482000003601361",2BHK,3.00,Gold,18-Aug-2026 18:42:46,23-Oct-2025 13:22:57
Apollo Villa,true,Helios Villa,Lease,false,,Kodaikanal,Tamil Nadu,,415,18.00,9449,"292482000003584917",6BHK,6.00,Gold,18-Aug-2026 18:43:17,20-Aug-2025 12:49:05
Aurus Villa,true,Aurus Villa,Revenue Share,false,Aurus Villa,Igatpuri,Maharashtra,,412,15.00,,"292482000003389003",3BHK,3.00,Gold,18-Aug-2026 18:49:09,20-Aug-2025 12:40:53
Bellwood Villa,true,Bellwood Villa,Revenue Share,false,,Panchgani,Maharashtra,,411,20.00,9580,"292482000003068181",5BHK,5.00,Gold,18-Aug-2026 18:49:36,20-Aug-2025 12:40:36
Kihim 6BHK,false,Kihim 6BHK,Lease,false,,Alibaug,Maharashtra,,405,,,"292482000002854645",6BHK,6.00,Original,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
StarMount  Villa,true,StarMount  Villa,Revenue Share,false,StarMount  Villa,Panchgani,Maharashtra,,409,16.00,,"292482000002754985",5BHK,4.00,Gold,18-Aug-2026 18:49:36,20-Aug-2025 12:40:36
7 Palms,true,7 Palms,Lease,false,7 Palms,Alibaug,Maharashtra,,406,40.00,"8517,9581","292482000002606037",7BHK,7.00,Luxury,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
The Clay House,true,The Clay House,Lease,false,The Clay House,Alibaug,Maharashtra,,404,16.00,8515,"292482000002585493",4BHK,4.00,Gold,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
Assa Villa- Assagaon,true,Assa Villa- Assagaon,Lease,false,Assa Villa- Assagaon,Goa,Goa,,407,15.00,9236,"292482000002561947",5BHK,5.00,Gold,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
 House of Eight,true, House of Eight,Lease,false, House of Eight,Goa,Goa,,408,20.00,9672,"292482000002561941",8BHK,8.00,Gold,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
Terra Cotta Villa,true,Terra Cotta Villa,Revenue Share,false,Terra Cotta Villa,Panchgani,Maharashtra,,403,16.00,,"292482000002363003",4BHK,4.00,Gold,18-Aug-2026 18:49:36,20-Aug-2025 12:40:36
Kara Villa,true,Kara Villa,Revenue Share,false,Kara Villa,Karjat,Maharashtra,,402,10.00,8548,"292482000002316037",2BHK,2.00,Gold,18-Aug-2026 18:48:42,20-Aug-2025 12:41:10
AshBee Villa,true,AshBee Villa,Lease,false,AshBee Villa,Alibaug,Maharashtra,,401,25.00,"9583,8516","292482000002259155",6BHK,6.00,Gold,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
Twilight Villa,false,Twilight Villa,Revenue Share,false,Twilight Villa,Igatpuri,Maharashtra,,400,14.00,,"292482000002113261",3BHK,3.00,Gold,18-Aug-2026 18:49:09,20-Aug-2025 12:40:53
 Fern Wood Villa,true, Fern Wood Villa,Revenue Share,false, Fern Wood Villa,Virar,Maharashtra,,399,16.00,,"292482000001864025",3BHK,5.00,Original,18-Aug-2026 18:42:46,23-Oct-2025 13:22:57
 Tropical Beach Apartment (18-19 Unit),false, Tropical Beach Apartment (18-19 Unit),Lease,false,,Mumbai,Maharashtra,,169,8.00,,"292482000001312848",2BHK,2.00,Original,18-Aug-2026 18:46:32,20-Aug-2025 12:42:14
Nature,false,Nature,Lease,false,,Lonavala,Maharashtra,,338,12.00,,"292482000000689283",2BHK,2.00,Original,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Nature,false,Nature,Lease,false,,Lonavala,Maharashtra,,339,16.00,,"292482000000677641",3BHK,3.00,Original,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Nature,false,Nature,Lease,false,,Lonavala,Maharashtra,,340,25.00,,"292482000000518685",5BHK,5.00,Original,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Woodpecker Villa,false,Woodpecker Villa,Lease,false,,Igatpuri,Maharashtra,,248,16.00,1040,"292482000000484003",3BHK,3.00,Original,18-Aug-2026 18:49:09,20-Aug-2025 12:40:53
Aqua Beach Villa- Candolim Beach,false,Aqua Beach Villa- Candolim Beach,Lease,false,,Goa,Goa,,125,14.00,564,"292482000000483009",4BHK,4.00,Gold,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
Hazel Villa,false,Hazel Villa,Revenue Share,false,Hazel Villa,Lonavala,Maharashtra,,300,16.00,,"292482000000483003",4BHK,4.00,Original,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Tranquil Villa,false,Tranquil Villa,Lease,false,,Lonavala,Maharashtra,,27,16.00,"978,1010","292482000000481015",4BHK,5.00,Luxury,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Utan Central,false,Utan Central,,false,,Mumbai,Maharashtra,Central Office,,,,"292482000000479207",,,,18-Aug-2026 18:46:32,20-Aug-2025 12:42:14
Morning Dew Villa,false,Morning Dew Villa,Revenue Share,false,,Kodaikanal,Tamil Nadu,,375,10.00,,"292482000000479193",3BHK,4.00,Gold,18-Aug-2026 18:43:17,20-Aug-2025 12:49:05
Oslo Villa,false,Oslo Villa,Lease,false,,Wada,Maharashtra,,207,12.00,"671,955,1046","292482000000479021",2BHK,2.00,Gold,18-Aug-2026 18:46:56,20-Aug-2025 12:41:54
Pebble Villa,false,Pebble Villa,Revenue Share,false,,Igatpuri,Maharashtra,,236,12.00,1042,"292482000000478013",3BHK,3.00,Original,18-Aug-2026 18:49:09,20-Aug-2025 12:40:53
Coconut Grove Villa- Parra,false,Coconut Grove Villa- Parra,Lease,false,,Goa,Goa,,156,10.00,558,"292482000000474017",3BHK,3.00,Gold,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
Jade Villa- Pilerne,false,Jade Villa- Pilerne,Lease,false,,Goa,Goa,,231,14.00,557,"292482000000451333",4BHK,4.00,Luxury,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
Escobar Villa 3BHK,false,Escobar Villa 8 BHK,Revenue Share,false,,Pune,Maharashtra,,99,14.00,,"292482000000451311",3BHK,3.00,Gold,18-Aug-2026 18:47:58,20-Aug-2025 12:41:21
Copacabana Villa- Calangute,true,Copacabana Villa- Calangute,Revenue Share,false,"Copacabana Villa Calangute,Copacabana Villa- Calangute",Goa,Goa,,307,6.00,569,"292482000000436941",2BHK,2.00,Gold,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
Escobar Villa 8 BHK,false,Escobar Villa 8 BHK,Revenue Share,false,"Escobar Villa 8 BHK,Escobar Villa 3BHK",Pune,Maharashtra,,398,25.00,8398,"292482000000435257",8BHK,8.00,Gold,18-Aug-2026 18:47:58,20-Aug-2025 12:41:21
Head Office Central,false,Head Office Central,,false,,Head Office Central,Maharashtra,Central Office,,,1037,"292482000000406245",,,,05-Apr-2026 20:37:43,22-Aug-2025 19:05:24
Panchgani Central,false,Panchgani Central,,false,,Panchgani,Maharashtra,Central Office,,,"1069,4849,1035,951","292482000000406237",,,,18-Aug-2026 18:49:36,20-Aug-2025 12:40:36
Karjat Central,false,Karjat Central,,false,,Karjat,Maharashtra,Central Office,,,"1068,4848,1032","292482000000406233",,,,18-Aug-2026 18:48:42,20-Aug-2025 12:41:10
Igatpuri Central,false,Igatpuri Central,,false,,Igatpuri,Maharashtra,Central Office,,,"1048,1067,1031","292482000000406229",,,,18-Aug-2026 18:49:09,20-Aug-2025 12:40:53
Ooty Central,false,Ooty Central,,false,,Ooty And Coonoor,Tamil Nadu,Central Office,,,"8180,1036","292482000000406225",,,,18-Aug-2026 18:45:58,20-Aug-2025 12:42:57
Lonavla Central,false,Lonavla Central,,false,,Lonavala,Maharashtra,Central Office,,,"4847,1065,1033,961,962,8400,960","292482000000406221",,,,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Alibaug Central,false,Alibaug Central,,false,,Alibaug,Maharashtra,Central Office,,,"6508,1066,1030,963,956,957","292482000000406217",,,,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
Goa Central,false,Goa Central,,false,Goa Central,Goa,Goa,Central Office,,,"618,1034,","292482000000406213",,,,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
Ark Stone Villa,true,Ark Stone Villa,Revenue Share,false,Ark Stone Villa,Alibaug,Maharashtra,Central Office,397,15.00,7737,"292482000000368709",5BHK,5.00,Gold,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
Skyfall Elysium Villa,true,Skyfall Elysium Villa,Lease,false,Skyfall Elysium Villa,Ooty And Coonoor,Tamil Nadu,Central Office,396,14.00,8177,"292482000000368705",3BHK,2.00,Gold,18-Aug-2026 18:45:58,20-Aug-2025 12:42:57
Skyfall Mist Villa,true,Skyfall Mist Villa,Lease,false,Skyfall Mist Villa,Ooty And Coonoor,Tamil Nadu,Central Office,395,14.00,8179,"292482000000368701",3BHK,3.00,Gold,18-Aug-2026 18:45:58,20-Aug-2025 12:42:57
Skyfall Cloud 9 Villa,true,Skyfall Cloud 9 Villa,Lease,false,Skyfall Cloud 9 Villa,Ooty And Coonoor,Tamil Nadu,Central Office,394,14.00,8178,"292482000000368697",3BHK,3.00,Gold,18-Aug-2026 18:45:58,20-Aug-2025 12:42:57
Dutch Cottage,true,Dutch Cottage,Lease,false,Dutch Cottage,Ooty And Coonoor,Tamil Nadu,Central Office,393,14.00,8175,"292482000000368693",4BHK,4.00,Gold,18-Aug-2026 18:45:58,20-Aug-2025 12:42:57
Garden Grove Villa,true,Garden Grove Villa,Lease,false,Garden Grove Villa,Ooty And Coonoor,Tamil Nadu,Central Office,392,16.00,8172,"292482000000368689",4BHK,4.00,Gold,18-Aug-2026 18:45:58,20-Aug-2025 12:42:57
Casa Del Sol,true,Casa Del Sol,Lease,false,Casa Del Sol,Ooty And Coonoor,Tamil Nadu,Central Office,391,16.00,8174,"292482000000368685",4.5BHK,4.00,Gold,18-Aug-2026 18:45:58,20-Aug-2025 12:42:57
Skyfall Dew Drops,true,Skyfall Dew Drops,Lease,false,Skyfall Dew Drops,Ooty And Coonoor,Tamil Nadu,Central Office,390,14.00,8176,"292482000000368681",3BHK,3.00,Gold,18-Aug-2026 18:45:58,20-Aug-2025 12:42:57
Villa Eve,true,Villa Eve,Lease,false,Villa Eve,Ooty And Coonoor,Tamil Nadu,Central Office,389,10.00,8173,"292482000000368677",3BHK,3.00,Gold,18-Aug-2026 18:45:58,20-Aug-2025 12:42:57
Santo Maria Villa,true,Santo Maria Villa,Lease,false,Santo Maria Villa,Lonavala,Maharashtra,Central Office,388,15.00,"8184,8275,8399,1019","292482000000368673",4BHK,4.00,Gold,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Velvet Goose Villa- Calangute,true,Velvet Goose Villa- Calangute,Lease,false,Velvet Goose Villa- Calangute,Goa,Goa,Central Office,387,20.00,8186,"292482000000368669",6.5BHK,6.00,Luxury,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
Ivory Goose Villa- Calangute,true,Ivory Goose Villa- Calangute,Lease,false,Ivory Goose Villa- Calangute,Goa,Goa,Central Office,386,20.00,8185,"292482000000368665",6.5BHK,6.00,Luxury,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
